From Date,To Date,pm2_5,pm10,NO,NO2,NOx
07-10-2021 13:00,07-10-2021 13:15,45,101,4.7,7.3,12
07-10-2021 13:15,07-10-2021 13:30,45,101,3.7,8,11.7
07-10-2021 13:30,07-10-2021 13:45,45,101,3.7,7.6,11.3
07-10-2021 13:45,07-10-2021 14:00,45,101,2.7,7,9.8
07-10-2021 14:00,07-10-2021 14:15,41,102,2.5,5.3,7.8
07-10-2021 14:15,07-10-2021 14:30,41,102,0.3,6.1,6.5
07-10-2021 14:30,07-10-2021 14:45,41,102,4.2,8.9,13.1
07-10-2021 14:45,07-10-2021 15:00,41,102,3.3,5.3,8.6
07-10-2021 15:00,07-10-2021 15:15,42,111,2.9,4.7,7.6
07-10-2021 15:15,07-10-2021 15:30,42,111,3.9,6.7,10.6
07-10-2021 15:30,07-10-2021 15:45,42,111,3,7.3,10.3
07-10-2021 15:45,07-10-2021 16:00,42,111,3.2,7.4,10.6
07-10-2021 16:00,07-10-2021 16:15,48,122,7,8.1,15
07-10-2021 16:15,07-10-2021 16:30,48,122,5.3,5.2,10.6
07-10-2021 16:30,07-10-2021 16:45,48,122,5.3,6.6,11.9
07-10-2021 16:45,07-10-2021 17:00,48,122,3.9,7.9,11.8
07-10-2021 17:00,07-10-2021 17:15,42,119,2.7,7.7,10.4
07-10-2021 17:15,07-10-2021 17:30,42,119,3.3,7.9,11.2
07-10-2021 17:30,07-10-2021 17:45,42,119,2.5,9.3,11.8
07-10-2021 17:45,07-10-2021 18:00,42,119,4.2,10.1,14.3
07-10-2021 18:00,07-10-2021 18:15,46,135,5.7,11.3,17
07-10-2021 18:15,07-10-2021 18:30,46,135,3.9,13.1,17
07-10-2021 18:30,07-10-2021 18:45,46,135,4.3,12.8,17.1
07-10-2021 18:45,07-10-2021 19:00,46,135,3.8,17,20.8
07-10-2021 19:00,07-10-2021 19:15,50,132,2.6,17,19.6
07-10-2021 19:15,07-10-2021 19:30,50,132,3,17,20
07-10-2021 19:30,07-10-2021 19:45,50,132,5,18.3,23.3
07-10-2021 19:45,07-10-2021 20:00,50,132,4.8,23.5,28.3
07-10-2021 20:00,07-10-2021 20:15,77,189,4.3,18,22.3
07-10-2021 20:15,07-10-2021 20:30,77,189,3.8,22.2,26
07-10-2021 20:30,07-10-2021 20:45,77,189,2.3,24,26.3
07-10-2021 20:45,07-10-2021 21:00,77,189,3.1,19.7,22.8
07-10-2021 21:00,07-10-2021 21:15,77,173,4,19.9,23.9
07-10-2021 21:15,07-10-2021 21:30,77,173,4.3,20,24.3
07-10-2021 21:30,07-10-2021 21:45,77,173,2.2,22,24.2
07-10-2021 21:45,07-10-2021 22:00,77,173,5.8,21.7,27.5
07-10-2021 22:00,07-10-2021 22:15,67,147,4.9,23.2,28.1
07-10-2021 22:15,07-10-2021 22:30,67,147,10.6,23.1,33.7
07-10-2021 22:30,07-10-2021 22:45,67,147,19.7,25.3,45
07-10-2021 22:45,07-10-2021 23:00,67,147,9.9,26.4,36.3
07-10-2021 23:00,07-10-2021 23:15,70,146,5.9,25.3,31.2
07-10-2021 23:15,07-10-2021 23:30,70,146,5,25,30
07-10-2021 23:30,07-10-2021 23:45,70,146,3,24.5,27.6
07-10-2021 23:45,08-10-2021 00:00,70,146,11.9,23.4,35.3
08-10-2021 00:00,08-10-2021 00:15,64,195,12.5,24.6,37.1
08-10-2021 00:15,08-10-2021 00:30,64,195,14.2,21.3,35.5
08-10-2021 00:30,08-10-2021 00:45,64,195,17.3,22.3,39.6
08-10-2021 00:45,08-10-2021 01:00,64,195,15.8,24,39.8
08-10-2021 01:00,08-10-2021 01:15,72,188,16.5,25.8,42.3
08-10-2021 01:15,08-10-2021 01:30,72,188,17.6,20.7,38.3
08-10-2021 01:30,08-10-2021 01:45,72,188,15.7,17.9,33.6
08-10-2021 01:45,08-10-2021 02:00,72,188,12.2,18.6,30.8
08-10-2021 02:00,08-10-2021 02:15,67,112,None,None,None
08-10-2021 02:15,08-10-2021 02:30,67,112,None,None,None
08-10-2021 02:30,08-10-2021 02:45,67,112,None,None,None
08-10-2021 02:45,08-10-2021 03:00,67,112,10.1,22,32.2
08-10-2021 03:00,08-10-2021 03:15,67,107,10.9,22.9,33.7
08-10-2021 03:15,08-10-2021 03:30,67,107,8,23.5,31.6
08-10-2021 03:30,08-10-2021 03:45,67,107,8.4,22.6,31
08-10-2021 03:45,08-10-2021 04:00,67,107,8.6,20.6,29.2
08-10-2021 04:00,08-10-2021 04:15,66,114,6.7,18.7,25.4
08-10-2021 04:15,08-10-2021 04:30,66,114,4.9,18.5,23.3
08-10-2021 04:30,08-10-2021 04:45,66,114,5.2,19.6,24.8
08-10-2021 04:45,08-10-2021 05:00,66,114,5.2,18,23.2
